,network,iteration,no_internet,has_internet,time
0,pc,0,"+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0854 |
+--------+-----------+
| G3(4)  |    0.0118 |
+--------+-----------+
| G3(5)  |    0.0211 |
+--------+-----------+
| G3(6)  |    0.0424 |
+--------+-----------+
| G3(7)  |    0.0311 |
+--------+-----------+
| G3(8)  |    0.0768 |
+--------+-----------+
| G3(9)  |    0.0659 |
+--------+-----------+
| G3(10) |    0.1371 |
+--------+-----------+
| G3(11) |    0.1090 |
+--------+-----------+
| G3(12) |    0.0894 |
+--------+-----------+
| G3(13) |    0.0721 |
+--------+-----------+
| G3(14) |    0.0686 |
+--------+-----------+
| G3(15) |    0.0738 |
+--------+-----------+
| G3(16) |    0.0375 |
+--------+-----------+
| G3(17) |    0.0188 |
+--------+-----------+
| G3(18) |    0.0294 |
+--------+-----------+
| G3(19) |    0.0172 |
+--------+-----------+
| G3(20) |    0.0125 |
+--------+-----------+","+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0854 |
+--------+-----------+
| G3(4)  |    0.0118 |
+--------+-----------+
| G3(5)  |    0.0211 |
+--------+-----------+
| G3(6)  |    0.0424 |
+--------+-----------+
| G3(7)  |    0.0311 |
+--------+-----------+
| G3(8)  |    0.0768 |
+--------+-----------+
| G3(9)  |    0.0659 |
+--------+-----------+
| G3(10) |    0.1371 |
+--------+-----------+
| G3(11) |    0.1090 |
+--------+-----------+
| G3(12) |    0.0894 |
+--------+-----------+
| G3(13) |    0.0721 |
+--------+-----------+
| G3(14) |    0.0686 |
+--------+-----------+
| G3(15) |    0.0738 |
+--------+-----------+
| G3(16) |    0.0375 |
+--------+-----------+
| G3(17) |    0.0188 |
+--------+-----------+
| G3(18) |    0.0294 |
+--------+-----------+
| G3(19) |    0.0172 |
+--------+-----------+
| G3(20) |    0.0125 |
+--------+-----------+",0.0009524629995212308
1,pc,1,"+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0854 |
+--------+-----------+
| G3(4)  |    0.0118 |
+--------+-----------+
| G3(5)  |    0.0211 |
+--------+-----------+
| G3(6)  |    0.0424 |
+--------+-----------+
| G3(7)  |    0.0311 |
+--------+-----------+
| G3(8)  |    0.0768 |
+--------+-----------+
| G3(9)  |    0.0659 |
+--------+-----------+
| G3(10) |    0.1371 |
+--------+-----------+
| G3(11) |    0.1090 |
+--------+-----------+
| G3(12) |    0.0894 |
+--------+-----------+
| G3(13) |    0.0721 |
+--------+-----------+
| G3(14) |    0.0686 |
+--------+-----------+
| G3(15) |    0.0738 |
+--------+-----------+
| G3(16) |    0.0375 |
+--------+-----------+
| G3(17) |    0.0188 |
+--------+-----------+
| G3(18) |    0.0294 |
+--------+-----------+
| G3(19) |    0.0172 |
+--------+-----------+
| G3(20) |    0.0125 |
+--------+-----------+","+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0854 |
+--------+-----------+
| G3(4)  |    0.0118 |
+--------+-----------+
| G3(5)  |    0.0211 |
+--------+-----------+
| G3(6)  |    0.0424 |
+--------+-----------+
| G3(7)  |    0.0311 |
+--------+-----------+
| G3(8)  |    0.0768 |
+--------+-----------+
| G3(9)  |    0.0659 |
+--------+-----------+
| G3(10) |    0.1371 |
+--------+-----------+
| G3(11) |    0.1090 |
+--------+-----------+
| G3(12) |    0.0894 |
+--------+-----------+
| G3(13) |    0.0721 |
+--------+-----------+
| G3(14) |    0.0686 |
+--------+-----------+
| G3(15) |    0.0738 |
+--------+-----------+
| G3(16) |    0.0375 |
+--------+-----------+
| G3(17) |    0.0188 |
+--------+-----------+
| G3(18) |    0.0294 |
+--------+-----------+
| G3(19) |    0.0172 |
+--------+-----------+
| G3(20) |    0.0125 |
+--------+-----------+",0.0009946560003299965
2,pc,2,"+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0854 |
+--------+-----------+
| G3(4)  |    0.0118 |
+--------+-----------+
| G3(5)  |    0.0211 |
+--------+-----------+
| G3(6)  |    0.0424 |
+--------+-----------+
| G3(7)  |    0.0311 |
+--------+-----------+
| G3(8)  |    0.0768 |
+--------+-----------+
| G3(9)  |    0.0659 |
+--------+-----------+
| G3(10) |    0.1371 |
+--------+-----------+
| G3(11) |    0.1090 |
+--------+-----------+
| G3(12) |    0.0894 |
+--------+-----------+
| G3(13) |    0.0721 |
+--------+-----------+
| G3(14) |    0.0686 |
+--------+-----------+
| G3(15) |    0.0738 |
+--------+-----------+
| G3(16) |    0.0375 |
+--------+-----------+
| G3(17) |    0.0188 |
+--------+-----------+
| G3(18) |    0.0294 |
+--------+-----------+
| G3(19) |    0.0172 |
+--------+-----------+
| G3(20) |    0.0125 |
+--------+-----------+","+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0854 |
+--------+-----------+
| G3(4)  |    0.0118 |
+--------+-----------+
| G3(5)  |    0.0211 |
+--------+-----------+
| G3(6)  |    0.0424 |
+--------+-----------+
| G3(7)  |    0.0311 |
+--------+-----------+
| G3(8)  |    0.0768 |
+--------+-----------+
| G3(9)  |    0.0659 |
+--------+-----------+
| G3(10) |    0.1371 |
+--------+-----------+
| G3(11) |    0.1090 |
+--------+-----------+
| G3(12) |    0.0894 |
+--------+-----------+
| G3(13) |    0.0721 |
+--------+-----------+
| G3(14) |    0.0686 |
+--------+-----------+
| G3(15) |    0.0738 |
+--------+-----------+
| G3(16) |    0.0375 |
+--------+-----------+
| G3(17) |    0.0188 |
+--------+-----------+
| G3(18) |    0.0294 |
+--------+-----------+
| G3(19) |    0.0172 |
+--------+-----------+
| G3(20) |    0.0125 |
+--------+-----------+",0.0009140809997916222
3,pc,3,"+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0854 |
+--------+-----------+
| G3(4)  |    0.0118 |
+--------+-----------+
| G3(5)  |    0.0211 |
+--------+-----------+
| G3(6)  |    0.0424 |
+--------+-----------+
| G3(7)  |    0.0311 |
+--------+-----------+
| G3(8)  |    0.0768 |
+--------+-----------+
| G3(9)  |    0.0659 |
+--------+-----------+
| G3(10) |    0.1371 |
+--------+-----------+
| G3(11) |    0.1090 |
+--------+-----------+
| G3(12) |    0.0894 |
+--------+-----------+
| G3(13) |    0.0721 |
+--------+-----------+
| G3(14) |    0.0686 |
+--------+-----------+
| G3(15) |    0.0738 |
+--------+-----------+
| G3(16) |    0.0375 |
+--------+-----------+
| G3(17) |    0.0188 |
+--------+-----------+
| G3(18) |    0.0294 |
+--------+-----------+
| G3(19) |    0.0172 |
+--------+-----------+
| G3(20) |    0.0125 |
+--------+-----------+","+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0854 |
+--------+-----------+
| G3(4)  |    0.0118 |
+--------+-----------+
| G3(5)  |    0.0211 |
+--------+-----------+
| G3(6)  |    0.0424 |
+--------+-----------+
| G3(7)  |    0.0311 |
+--------+-----------+
| G3(8)  |    0.0768 |
+--------+-----------+
| G3(9)  |    0.0659 |
+--------+-----------+
| G3(10) |    0.1371 |
+--------+-----------+
| G3(11) |    0.1090 |
+--------+-----------+
| G3(12) |    0.0894 |
+--------+-----------+
| G3(13) |    0.0721 |
+--------+-----------+
| G3(14) |    0.0686 |
+--------+-----------+
| G3(15) |    0.0738 |
+--------+-----------+
| G3(16) |    0.0375 |
+--------+-----------+
| G3(17) |    0.0188 |
+--------+-----------+
| G3(18) |    0.0294 |
+--------+-----------+
| G3(19) |    0.0172 |
+--------+-----------+
| G3(20) |    0.0125 |
+--------+-----------+",0.0008678770000187797
4,pc,4,"+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0854 |
+--------+-----------+
| G3(4)  |    0.0118 |
+--------+-----------+
| G3(5)  |    0.0211 |
+--------+-----------+
| G3(6)  |    0.0424 |
+--------+-----------+
| G3(7)  |    0.0311 |
+--------+-----------+
| G3(8)  |    0.0768 |
+--------+-----------+
| G3(9)  |    0.0659 |
+--------+-----------+
| G3(10) |    0.1371 |
+--------+-----------+
| G3(11) |    0.1090 |
+--------+-----------+
| G3(12) |    0.0894 |
+--------+-----------+
| G3(13) |    0.0721 |
+--------+-----------+
| G3(14) |    0.0686 |
+--------+-----------+
| G3(15) |    0.0738 |
+--------+-----------+
| G3(16) |    0.0375 |
+--------+-----------+
| G3(17) |    0.0188 |
+--------+-----------+
| G3(18) |    0.0294 |
+--------+-----------+
| G3(19) |    0.0172 |
+--------+-----------+
| G3(20) |    0.0125 |
+--------+-----------+","+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0854 |
+--------+-----------+
| G3(4)  |    0.0118 |
+--------+-----------+
| G3(5)  |    0.0211 |
+--------+-----------+
| G3(6)  |    0.0424 |
+--------+-----------+
| G3(7)  |    0.0311 |
+--------+-----------+
| G3(8)  |    0.0768 |
+--------+-----------+
| G3(9)  |    0.0659 |
+--------+-----------+
| G3(10) |    0.1371 |
+--------+-----------+
| G3(11) |    0.1090 |
+--------+-----------+
| G3(12) |    0.0894 |
+--------+-----------+
| G3(13) |    0.0721 |
+--------+-----------+
| G3(14) |    0.0686 |
+--------+-----------+
| G3(15) |    0.0738 |
+--------+-----------+
| G3(16) |    0.0375 |
+--------+-----------+
| G3(17) |    0.0188 |
+--------+-----------+
| G3(18) |    0.0294 |
+--------+-----------+
| G3(19) |    0.0172 |
+--------+-----------+
| G3(20) |    0.0125 |
+--------+-----------+",0.0010109360000569723
5,tree,0,"+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0974 |
+--------+-----------+
| G3(4)  |    0.0018 |
+--------+-----------+
| G3(5)  |    0.0167 |
+--------+-----------+
| G3(6)  |    0.0371 |
+--------+-----------+
| G3(7)  |    0.0237 |
+--------+-----------+
| G3(8)  |    0.0782 |
+--------+-----------+
| G3(9)  |    0.0707 |
+--------+-----------+
| G3(10) |    0.1409 |
+--------+-----------+
| G3(11) |    0.1197 |
+--------+-----------+
| G3(12) |    0.0812 |
+--------+-----------+
| G3(13) |    0.0795 |
+--------+-----------+
| G3(14) |    0.0688 |
+--------+-----------+
| G3(15) |    0.0826 |
+--------+-----------+
| G3(16) |    0.0420 |
+--------+-----------+
| G3(17) |    0.0154 |
+--------+-----------+
| G3(18) |    0.0288 |
+--------+-----------+
| G3(19) |    0.0129 |
+--------+-----------+
| G3(20) |    0.0025 |
+--------+-----------+","+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0960 |
+--------+-----------+
| G3(4)  |    0.0027 |
+--------+-----------+
| G3(5)  |    0.0179 |
+--------+-----------+
| G3(6)  |    0.0381 |
+--------+-----------+
| G3(7)  |    0.0226 |
+--------+-----------+
| G3(8)  |    0.0816 |
+--------+-----------+
| G3(9)  |    0.0709 |
+--------+-----------+
| G3(10) |    0.1419 |
+--------+-----------+
| G3(11) |    0.1188 |
+--------+-----------+
| G3(12) |    0.0779 |
+--------+-----------+
| G3(13) |    0.0783 |
+--------+-----------+
| G3(14) |    0.0683 |
+--------+-----------+
| G3(15) |    0.0837 |
+--------+-----------+
| G3(16) |    0.0402 |
+--------+-----------+
| G3(17) |    0.0152 |
+--------+-----------+
| G3(18) |    0.0307 |
+--------+-----------+
| G3(19) |    0.0126 |
+--------+-----------+
| G3(20) |    0.0025 |
+--------+-----------+",0.0009747299991431646
6,tree,1,"+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0974 |
+--------+-----------+
| G3(4)  |    0.0018 |
+--------+-----------+
| G3(5)  |    0.0167 |
+--------+-----------+
| G3(6)  |    0.0371 |
+--------+-----------+
| G3(7)  |    0.0237 |
+--------+-----------+
| G3(8)  |    0.0782 |
+--------+-----------+
| G3(9)  |    0.0707 |
+--------+-----------+
| G3(10) |    0.1409 |
+--------+-----------+
| G3(11) |    0.1197 |
+--------+-----------+
| G3(12) |    0.0812 |
+--------+-----------+
| G3(13) |    0.0795 |
+--------+-----------+
| G3(14) |    0.0688 |
+--------+-----------+
| G3(15) |    0.0826 |
+--------+-----------+
| G3(16) |    0.0420 |
+--------+-----------+
| G3(17) |    0.0154 |
+--------+-----------+
| G3(18) |    0.0288 |
+--------+-----------+
| G3(19) |    0.0129 |
+--------+-----------+
| G3(20) |    0.0025 |
+--------+-----------+","+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0960 |
+--------+-----------+
| G3(4)  |    0.0027 |
+--------+-----------+
| G3(5)  |    0.0179 |
+--------+-----------+
| G3(6)  |    0.0381 |
+--------+-----------+
| G3(7)  |    0.0226 |
+--------+-----------+
| G3(8)  |    0.0816 |
+--------+-----------+
| G3(9)  |    0.0709 |
+--------+-----------+
| G3(10) |    0.1419 |
+--------+-----------+
| G3(11) |    0.1188 |
+--------+-----------+
| G3(12) |    0.0779 |
+--------+-----------+
| G3(13) |    0.0783 |
+--------+-----------+
| G3(14) |    0.0683 |
+--------+-----------+
| G3(15) |    0.0837 |
+--------+-----------+
| G3(16) |    0.0402 |
+--------+-----------+
| G3(17) |    0.0152 |
+--------+-----------+
| G3(18) |    0.0307 |
+--------+-----------+
| G3(19) |    0.0126 |
+--------+-----------+
| G3(20) |    0.0025 |
+--------+-----------+",0.0009391960002176347
7,tree,2,"+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0974 |
+--------+-----------+
| G3(4)  |    0.0018 |
+--------+-----------+
| G3(5)  |    0.0167 |
+--------+-----------+
| G3(6)  |    0.0371 |
+--------+-----------+
| G3(7)  |    0.0237 |
+--------+-----------+
| G3(8)  |    0.0782 |
+--------+-----------+
| G3(9)  |    0.0707 |
+--------+-----------+
| G3(10) |    0.1409 |
+--------+-----------+
| G3(11) |    0.1197 |
+--------+-----------+
| G3(12) |    0.0812 |
+--------+-----------+
| G3(13) |    0.0795 |
+--------+-----------+
| G3(14) |    0.0688 |
+--------+-----------+
| G3(15) |    0.0826 |
+--------+-----------+
| G3(16) |    0.0420 |
+--------+-----------+
| G3(17) |    0.0154 |
+--------+-----------+
| G3(18) |    0.0288 |
+--------+-----------+
| G3(19) |    0.0129 |
+--------+-----------+
| G3(20) |    0.0025 |
+--------+-----------+","+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0960 |
+--------+-----------+
| G3(4)  |    0.0027 |
+--------+-----------+
| G3(5)  |    0.0179 |
+--------+-----------+
| G3(6)  |    0.0381 |
+--------+-----------+
| G3(7)  |    0.0226 |
+--------+-----------+
| G3(8)  |    0.0816 |
+--------+-----------+
| G3(9)  |    0.0709 |
+--------+-----------+
| G3(10) |    0.1419 |
+--------+-----------+
| G3(11) |    0.1188 |
+--------+-----------+
| G3(12) |    0.0779 |
+--------+-----------+
| G3(13) |    0.0783 |
+--------+-----------+
| G3(14) |    0.0683 |
+--------+-----------+
| G3(15) |    0.0837 |
+--------+-----------+
| G3(16) |    0.0402 |
+--------+-----------+
| G3(17) |    0.0152 |
+--------+-----------+
| G3(18) |    0.0307 |
+--------+-----------+
| G3(19) |    0.0126 |
+--------+-----------+
| G3(20) |    0.0025 |
+--------+-----------+",0.0010744239998530247
8,tree,3,"+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0974 |
+--------+-----------+
| G3(4)  |    0.0018 |
+--------+-----------+
| G3(5)  |    0.0167 |
+--------+-----------+
| G3(6)  |    0.0371 |
+--------+-----------+
| G3(7)  |    0.0237 |
+--------+-----------+
| G3(8)  |    0.0782 |
+--------+-----------+
| G3(9)  |    0.0707 |
+--------+-----------+
| G3(10) |    0.1409 |
+--------+-----------+
| G3(11) |    0.1197 |
+--------+-----------+
| G3(12) |    0.0812 |
+--------+-----------+
| G3(13) |    0.0795 |
+--------+-----------+
| G3(14) |    0.0688 |
+--------+-----------+
| G3(15) |    0.0826 |
+--------+-----------+
| G3(16) |    0.0420 |
+--------+-----------+
| G3(17) |    0.0154 |
+--------+-----------+
| G3(18) |    0.0288 |
+--------+-----------+
| G3(19) |    0.0129 |
+--------+-----------+
| G3(20) |    0.0025 |
+--------+-----------+","+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0960 |
+--------+-----------+
| G3(4)  |    0.0027 |
+--------+-----------+
| G3(5)  |    0.0179 |
+--------+-----------+
| G3(6)  |    0.0381 |
+--------+-----------+
| G3(7)  |    0.0226 |
+--------+-----------+
| G3(8)  |    0.0816 |
+--------+-----------+
| G3(9)  |    0.0709 |
+--------+-----------+
| G3(10) |    0.1419 |
+--------+-----------+
| G3(11) |    0.1188 |
+--------+-----------+
| G3(12) |    0.0779 |
+--------+-----------+
| G3(13) |    0.0783 |
+--------+-----------+
| G3(14) |    0.0683 |
+--------+-----------+
| G3(15) |    0.0837 |
+--------+-----------+
| G3(16) |    0.0402 |
+--------+-----------+
| G3(17) |    0.0152 |
+--------+-----------+
| G3(18) |    0.0307 |
+--------+-----------+
| G3(19) |    0.0126 |
+--------+-----------+
| G3(20) |    0.0025 |
+--------+-----------+",0.0010946789998342865
9,tree,4,"+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0974 |
+--------+-----------+
| G3(4)  |    0.0018 |
+--------+-----------+
| G3(5)  |    0.0167 |
+--------+-----------+
| G3(6)  |    0.0371 |
+--------+-----------+
| G3(7)  |    0.0237 |
+--------+-----------+
| G3(8)  |    0.0782 |
+--------+-----------+
| G3(9)  |    0.0707 |
+--------+-----------+
| G3(10) |    0.1409 |
+--------+-----------+
| G3(11) |    0.1197 |
+--------+-----------+
| G3(12) |    0.0812 |
+--------+-----------+
| G3(13) |    0.0795 |
+--------+-----------+
| G3(14) |    0.0688 |
+--------+-----------+
| G3(15) |    0.0826 |
+--------+-----------+
| G3(16) |    0.0420 |
+--------+-----------+
| G3(17) |    0.0154 |
+--------+-----------+
| G3(18) |    0.0288 |
+--------+-----------+
| G3(19) |    0.0129 |
+--------+-----------+
| G3(20) |    0.0025 |
+--------+-----------+","+--------+-----------+
| G3     |   phi(G3) |
+========+===========+
| G3(0)  |    0.0960 |
+--------+-----------+
| G3(4)  |    0.0027 |
+--------+-----------+
| G3(5)  |    0.0179 |
+--------+-----------+
| G3(6)  |    0.0381 |
+--------+-----------+
| G3(7)  |    0.0226 |
+--------+-----------+
| G3(8)  |    0.0816 |
+--------+-----------+
| G3(9)  |    0.0709 |
+--------+-----------+
| G3(10) |    0.1419 |
+--------+-----------+
| G3(11) |    0.1188 |
+--------+-----------+
| G3(12) |    0.0779 |
+--------+-----------+
| G3(13) |    0.0783 |
+--------+-----------+
| G3(14) |    0.0683 |
+--------+-----------+
| G3(15) |    0.0837 |
+--------+-----------+
| G3(16) |    0.0402 |
+--------+-----------+
| G3(17) |    0.0152 |
+--------+-----------+
| G3(18) |    0.0307 |
+--------+-----------+
| G3(19) |    0.0126 |
+--------+-----------+
| G3(20) |    0.0025 |
+--------+-----------+",0.0009336889997939579
10,expert,0,"+-------+-----------+
| G3    |   phi(G3) |
+=======+===========+
| G3(0) |    0.3136 |
+-------+-----------+
| G3(1) |    0.3950 |
+-------+-----------+
| G3(2) |    0.2225 |
+-------+-----------+
| G3(3) |    0.0689 |
+-------+-----------+","+-------+-----------+
| G3    |   phi(G3) |
+=======+===========+
| G3(0) |    0.3059 |
+-------+-----------+
| G3(1) |    0.3801 |
+-------+-----------+
| G3(2) |    0.2356 |
+-------+-----------+
| G3(3) |    0.0784 |
+-------+-----------+",0.0029419270003927522
11,expert,1,"+-------+-----------+
| G3    |   phi(G3) |
+=======+===========+
| G3(0) |    0.3136 |
+-------+-----------+
| G3(1) |    0.3950 |
+-------+-----------+
| G3(2) |    0.2225 |
+-------+-----------+
| G3(3) |    0.0689 |
+-------+-----------+","+-------+-----------+
| G3    |   phi(G3) |
+=======+===========+
| G3(0) |    0.3059 |
+-------+-----------+
| G3(1) |    0.3801 |
+-------+-----------+
| G3(2) |    0.2356 |
+-------+-----------+
| G3(3) |    0.0784 |
+-------+-----------+",0.0028724700005113846
12,expert,2,"+-------+-----------+
| G3    |   phi(G3) |
+=======+===========+
| G3(0) |    0.3136 |
+-------+-----------+
| G3(1) |    0.3950 |
+-------+-----------+
| G3(2) |    0.2225 |
+-------+-----------+
| G3(3) |    0.0689 |
+-------+-----------+","+-------+-----------+
| G3    |   phi(G3) |
+=======+===========+
| G3(0) |    0.3059 |
+-------+-----------+
| G3(1) |    0.3801 |
+-------+-----------+
| G3(2) |    0.2356 |
+-------+-----------+
| G3(3) |    0.0784 |
+-------+-----------+",0.002823654000167153
13,expert,3,"+-------+-----------+
| G3    |   phi(G3) |
+=======+===========+
| G3(0) |    0.3136 |
+-------+-----------+
| G3(1) |    0.3950 |
+-------+-----------+
| G3(2) |    0.2225 |
+-------+-----------+
| G3(3) |    0.0689 |
+-------+-----------+","+-------+-----------+
| G3    |   phi(G3) |
+=======+===========+
| G3(0) |    0.3059 |
+-------+-----------+
| G3(1) |    0.3801 |
+-------+-----------+
| G3(2) |    0.2356 |
+-------+-----------+
| G3(3) |    0.0784 |
+-------+-----------+",0.0028273190000618342
14,expert,4,"+-------+-----------+
| G3    |   phi(G3) |
+=======+===========+
| G3(0) |    0.3136 |
+-------+-----------+
| G3(1) |    0.3950 |
+-------+-----------+
| G3(2) |    0.2225 |
+-------+-----------+
| G3(3) |    0.0689 |
+-------+-----------+","+-------+-----------+
| G3    |   phi(G3) |
+=======+===========+
| G3(0) |    0.3059 |
+-------+-----------+
| G3(1) |    0.3801 |
+-------+-----------+
| G3(2) |    0.2356 |
+-------+-----------+
| G3(3) |    0.0784 |
+-------+-----------+",0.002740129999438068
